ID,time,mass,x,y,z
4,497.418,1.1,0.082,-1.039,-0.27
0,498.005,1.0,-1.24,-1.403,-0.166
1,498.005,0.75,-1.252,-1.521,-0.161
2,498.005,1.2,1.76,3.777,0.519
3,498.005,0.7,0.023,-1.284,-0.114
4,498.005,1.1,0.047,-0.991,-0.234
0,498.592,1.0,-1.169,-1.454,-0.111
1,498.592,0.75,-1.27,-1.59,-0.235
2,498.592,1.2,1.77,3.853,0.528
3,498.592,0.7,-0.013,-1.301,-0.201
4,498.592,1.1,0.006,-0.968,-0.187
0,499.18,1.0,-1.128,-1.555,-0.097
1,499.18,0.75,-1.239,-1.589,-0.255
2,499.18,1.2,1.78,3.928,0.536
3,499.18,0.7,-0.052,-1.281,-0.286
4,499.18,1.1,-0.04,-0.972,-0.141
0,499.767,1.0,-1.132,-1.653,-0.158
1,499.767,0.75,-1.136,-1.588,-0.175
2,499.767,1.2,1.79,4.002,0.545
3,499.767,0.7,-0.094,-1.227,-0.355
4,499.767,1.1,-0.09,-1.0,-0.105
0,500.354,1.0,-1.064,-1.614,-0.143
1,500.354,0.75,-1.119,-1.764,-0.199
2,500.354,1.2,1.8,4.077,0.553
3,500.354,0.7,-0.14,-1.149,-0.394
4,500.354,1.1,-0.145,-1.047,-0.087
0,500.941,1.0,-0.987,-1.683,-0.104
1,500.941,0.75,-1.102,-1.787,-0.254
2,500.941,1.2,1.81,4.151,0.561
3,500.941,0.7,-0.192,-1.062,-0.392
4,500.941,1.1,-0.204,-1.104,-0.096
0,501.529,1.0,-0.94,-1.78,-0.112
1,501.529,0.75,-1.033,-1.765,-0.247
2,501.529,1.2,1.819,4.225,0.569
3,501.529,0.7,-0.251,-0.985,-0.341
4,501.529,1.1,-0.266,-1.16,-0.135
0,502.116,1.0,-0.926,-1.785,-0.186
1,502.116,0.75,-0.908,-1.853,-0.152
2,502.116,1.2,1.828,4.298,0.578
3,502.116,0.7,-0.316,-0.952,-0.245
4,502.116,1.1,-0.333,-1.197,-0.202
0,502.703,1.0,-0.813,-1.786,-0.128
1,502.703,0.75,-0.901,-1.932,-0.234
2,502.703,1.2,1.838,4.371,0.586
3,502.703,0.7,-0.39,-0.991,-0.138
4,502.703,1.1,-0.403,-1.197,-0.275
0,503.29,1.0,-0.726,-1.845,-0.108
1,503.29,0.75,-0.847,-1.912,-0.268
2,503.29,1.2,1.847,4.444,0.594
3,503.29,0.7,-0.471,-1.093,-0.069
4,503.29,1.1,-0.477,-1.171,-0.323
0,503.878,1.0,-0.677,-1.911,-0.146
1,503.878,0.75,-0.733,-1.859,-0.228
2,503.878,1.2,1.856,4.516,0.602
3,503.878,0.7,-0.557,-1.224,-0.057
4,503.878,1.1,-0.555,-1.143,-0.333
0,504.465,1.0,-0.607,-1.832,-0.17
1,504.465,0.75,-0.641,-1.97,-0.206
2,504.465,1.2,1.864,4.588,0.61
3,504.465,0.7,-0.645,-1.355,-0.099
4,504.465,1.1,-0.635,-1.134,-0.308
0,505.052,1.0,-0.496,-1.819,-0.129
1,505.052,0.75,-0.607,-1.951,-0.271
2,505.052,1.2,1.873,4.66,0.618
3,505.052,0.7,-0.729,-1.477,-0.176
4,505.052,1.1,-0.715,-1.159,-0.26
0,505.639,1.0,-0.426,-1.825,-0.13
1,505.639,0.75,-0.536,-1.863,-0.282
2,505.639,1.2,1.881,4.731,0.626
3,505.639,0.7,-0.796,-1.591,-0.264
4,505.639,1.1,-0.793,-1.22,-0.204
0,506.227,1.0,-0.429,-1.784,-0.217
1,506.227,0.75,-0.406,-1.796,-0.183
2,506.227,1.2,1.89,4.803,0.634
3,506.227,0.7,-0.833,-1.697,-0.343
4,506.227,1.1,-0.865,-1.313,-0.151
0,506.814,1.0,-0.355,-1.656,-0.173
1,506.814,0.75,-0.425,-1.819,-0.267
2,506.814,1.2,1.898,4.873,0.642
3,506.814,0.7,-0.839,-1.789,-0.401
4,506.814,1.1,-0.925,-1.432,-0.105
0,507.401,1.0,-0.321,-1.614,-0.159
1,507.401,0.75,-0.437,-1.72,-0.316
2,507.401,1.2,1.906,4.944,0.65
3,507.401,0.7,-0.822,-1.864,-0.436
4,507.401,1.1,-0.967,-1.568,-0.071
0,507.989,1.0,-0.338,-1.601,-0.192
1,507.989,0.75,-0.427,-1.585,-0.305
2,507.989,1.2,1.915,5.015,0.657
3,507.989,0.7,-0.788,-1.918,-0.449
4,507.989,1.1,-0.989,-1.714,-0.049
0,508.576,1.0,-0.398,-1.485,-0.248
1,508.576,0.75,-0.396,-1.603,-0.262
2,508.576,1.2,1.923,5.085,0.665
3,508.576,0.7,-0.745,-1.952,-0.439
4,508.576,1.1,-0.991,-1.861,-0.042
0,509.163,1.0,-0.393,-1.423,-0.211
1,509.163,0.75,-0.483,-1.574,-0.344
2,509.163,1.2,1.931,5.155,0.673
3,509.163,0.7,-0.698,-1.966,-0.406
4,509.163,1.1,-0.975,-2.005,-0.049
0,509.75,1.0,-0.42,-1.42,-0.213
1,509.75,0.75,-0.548,-1.496,-0.373
2,509.75,1.2,1.938,5.224,0.681
3,509.75,0.7,-0.654,-1.962,-0.35
4,509.75,1.1,-0.943,-2.14,-0.071
0,510.338,1.0,-0.497,-1.447,-0.269
1,510.338,0.75,-0.561,-1.408,-0.33
2,510.338,1.2,1.946,5.294,0.688
3,510.338,0.7,-0.616,-1.944,-0.279
4,510.338,1.1,-0.896,-2.262,-0.104
0,510.925,1.0,-0.562,-1.361,-0.272
1,510.925,0.75,-0.6,-1.507,-0.352
2,510.925,1.2,1.954,5.363,0.696
3,510.925,0.7,-0.587,-1.915,-0.201
4,510.925,1.1,-0.838,-2.367,-0.144
0,511.512,1.0,-0.585,-1.373,-0.247
1,511.512,0.75,-0.698,-1.51,-0.403
2,511.512,1.2,1.961,5.432,0.703
3,511.512,0.7,-0.565,-1.872,-0.128
4,511.512,1.1,-0.773,-2.457,-0.186
0,512.099,1.0,-0.634,-1.432,-0.257
1,512.099,0.75,-0.756,-1.482,-0.397
2,512.099,1.2,1.969,5.501,0.711
3,512.099,0.7,-0.552,-1.815,-0.067
4,512.099,1.1,-0.704,-2.533,-0.229
0,512.687,1.0,-0.747,-1.467,-0.318
1,512.687,0.75,-0.722,-1.52,-0.305
2,512.687,1.2,1.976,5.569,0.719
3,512.687,0.7,-0.549,-1.74,-0.024
4,512.687,1.1,-0.634,-2.599,-0.272
0,513.274,1.0,-0.749,-1.468,-0.248
1,513.274,0.75,-0.82,-1.632,-0.363
2,513.274,1.2,1.984,5.637,0.726
3,513.274,0.7,-0.565,-1.647,-0.01
4,513.274,1.1,-0.565,-2.655,-0.313
0,513.861,1.0,-0.756,-1.55,-0.198
1,513.861,0.75,-0.882,-1.658,-0.358
2,513.861,1.2,1.991,5.705,0.734
3,513.861,0.7,-0.609,-1.541,-0.035
4,513.861,1.1,-0.496,-2.703,-0.354
0,514.449,1.0,-0.759,-1.649,-0.152
1,514.449,0.75,-0.89,-1.649,-0.288
2,514.449,1.2,1.998,5.773,0.741
3,514.449,0.7,-0.714,-1.461,-0.127
4,514.449,1.1,-0.429,-2.745,-0.394
0,515.036,1.0,-0.809,-1.637,-0.142
1,515.036,0.75,-0.791,-1.686,-0.141
2,515.036,1.2,2.005,5.841,0.749
3,515.036,0.7,-0.864,-1.499,-0.25
4,515.036,1.1,-0.364,-2.78,-0.432
0,515.623,1.0,-0.756,-1.578,-0.041
1,515.623,0.75,-0.859,-1.683,-0.182
2,515.623,1.2,2.012,5.909,0.756
3,515.623,0.7,-0.976,-1.656,-0.305
4,515.623,1.1,-0.301,-2.81,-0.47
0,516.21,1.0,-0.755,-1.577,-0.016
1,516.21,0.75,-0.93,-1.606,-0.202
2,516.21,1.2,2.019,5.976,0.763
3,516.21,0.7,-1.01,-1.817,-0.274
4,516.21,1.1,-0.24,-2.834,-0.506
0,516.798,1.0,-0.794,-1.593,-0.036
1,516.798,0.75,-0.979,-1.561,-0.199
2,516.798,1.2,2.026,6.043,0.771
3,516.798,0.7,-1.004,-1.925,-0.206
4,516.798,1.1,-0.182,-2.855,-0.541
0,517.385,1.0,-0.88,-1.614,-0.097
1,517.385,0.75,-0.977,-1.551,-0.152
2,517.385,1.2,2.033,6.11,0.778
3,517.385,0.7,-0.984,-1.994,-0.129
4,517.385,1.1,-0.126,-2.871,-0.575
0,517.972,1.0,-0.933,-1.582,-0.08
1,517.972,0.75,-1.022,-1.652,-0.212
2,517.972,1.2,2.04,6.177,0.785
3,517.972,0.7,-0.955,-2.025,-0.052
4,517.972,1.1,-0.072,-2.884,-0.607
0,518.559,1.0,-0.945,-1.639,-0.067
1,518.559,0.75,-1.119,-1.673,-0.259
2,518.559,1.2,2.047,6.243,0.793
3,518.559,0.7,-0.926,-2.02,0.016
4,518.559,1.1,-0.022,-2.894,-0.638
0,519.147,1.0,-0.986,-1.722,-0.086
1,519.147,0.75,-1.168,-1.695,-0.252
2,519.147,1.2,2.053,6.31,0.8
3,519.147,0.7,-0.903,-1.981,0.069
4,519.147,1.1,0.027,-2.901,-0.667
0,519.734,1.0,-1.057,-1.819,-0.125
1,519.734,0.75,-1.158,-1.735,-0.192
2,519.734,1.2,2.06,6.376,0.807
3,519.734,0.7,-0.896,-1.905,0.093
4,519.734,1.1,0.073,-2.906,-0.695
0,520.321,1.0,-1.098,-1.829,-0.1
1,520.321,0.75,-1.149,-1.916,-0.174
2,520.321,1.2,2.066,6.442,0.815
3,520.321,0.7,-0.927,-1.808,0.068
4,520.321,1.1,0.117,-2.908,-0.722
0,520.909,1.0,-1.035,-1.914,-0.009
1,520.909,0.75,-1.214,-1.966,-0.184
2,520.909,1.2,2.073,6.508,0.822
3,520.909,0.7,-1.024,-1.745,-0.023
4,520.909,1.1,0.159,-2.909,-0.747
0,521.496,1.0,-0.994,-1.944,0.046
1,521.496,0.75,-1.216,-1.977,-0.135
2,521.496,1.2,2.079,6.574,0.829
3,521.496,0.7,-1.153,-1.806,-0.13
4,521.496,1.1,0.198,-2.907,-0.772
0,522.083,1.0,-1.003,-1.954,0.052
1,522.083,0.75,-1.174,-1.902,-0.092
2,522.083,1.2,2.086,6.639,0.836
3,522.083,0.7,-1.254,-1.991,-0.161
4,522.083,1.1,0.235,-2.903,-0.794
0,522.67,1.0,-1.074,-1.952,0.003
1,522.67,0.75,-1.14,-1.862,-0.087
2,522.67,1.2,2.092,6.705,0.843
3,522.67,0.7,-1.254,-2.156,-0.074
4,522.67,1.1,0.27,-2.898,-0.816
0,523.258,1.0,-1.092,-1.9,-0.043
1,523.258,0.75,-1.216,-1.953,-0.1
2,523.258,1.2,2.099,6.77,0.851
3,523.258,0.7,-1.211,-2.255,0.025
4,523.258,1.1,0.303,-2.892,-0.837
0,523.845,1.0,-1.109,-1.957,-0.036
1,523.845,0.75,-1.3,-1.949,-0.171
2,523.845,1.2,2.105,6.835,0.858
3,523.845,0.7,-1.155,-2.302,0.11
4,523.845,1.1,0.333,-2.884,-0.856
0,524.432,1.0,-1.175,-2.032,-0.056
1,524.432,0.75,-1.316,-1.957,-0.19
2,524.432,1.2,2.111,6.9,0.865
3,524.432,0.7,-1.098,-2.313,0.175
4,524.432,1.1,0.362,-2.875,-0.874
0,525.019,1.0,-1.285,-2.079,-0.119
1,525.019,0.75,-1.263,-2.027,-0.131
2,525.019,1.2,2.117,6.965,0.872
3,525.019,0.7,-1.051,-2.296,0.217
4,525.019,1.1,0.388,-2.865,-0.891
0,525.607,1.0,-1.241,-2.1,-0.091
1,525.607,0.75,-1.398,-2.15,-0.172
2,525.607,1.2,2.123,7.03,0.879
3,525.607,0.7,-1.017,-2.264,0.234
4,525.607,1.1,0.413,-2.853,-0.907
0,526.194,1.0,-1.257,-2.206,-0.058
1,526.194,0.75,-1.435,-2.17,-0.199
2,526.194,1.2,2.13,7.094,0.886
3,526.194,0.7,-1.001,-2.221,0.226
4,526.194,1.1,0.435,-2.841,-0.922
0,526.781,1.0,-1.304,-2.303,-0.047
1,526.781,0.75,-1.406,-2.202,-0.174
